"Страна","Название","Тикер","Разбор","Инвест.идея","Новинка","Дата","Дата.идеи","Дата.новинки","Сектор","Индустрия","Оценка"
"🇺🇸 США","Merck","MRK","https://t.me/usamarke1/2232",NA,NA,2021-05-25,NA,NA,"Здравоохранение","Производители лекарств - общие","4"
"🇺🇸 США","Coursera","COUR","https://t.me/usamarke1/2423",NA,NA,2021-07-07,NA,NA,"Консервативный потребительский сектор","Услуги в области образования и обучения","4"
"🇺🇸 США","Cowen","COWN","https://t.me/usamarke1/2330",NA,"https://t.me/usamarke1/2330",2021-06-17,NA,2021-06-17,"Финансовый","Рынки капитала","New"
"🇺🇸 США","Microsoft","MSFT","https://t.me/usamarke1/2377",NA,NA,2021-06-27,NA,NA,"Технологии","Программное обеспечение - инфраструктура","5"
"🇺🇸 США","CrowdStrike Holdings","CRWD","https://t.me/usamarke1/2711",NA,NA,2021-09-06,NA,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","Danaher","DHR","https://t.me/usamarke1/1226",NA,NA,2020-10-09,NA,NA,"Здравоохранение","Диагностика и исследования","4"
"🇺🇸 США","Darden Restaurants","DRI","https://t.me/usamarke1/1159",NA,NA,2020-09-23,NA,NA,"Циклический потребительский сектор","Рестораны","2"
"🇺🇸 США","Deere & Company","DE","https://t.me/usamarke1/1703",NA,NA,2021-01-20,NA,NA,"Промышленность","Сельскохозяйственная и тяжелая строительная техника","3"
"🇺🇸 США","Monster Beverage","MNST","https://t.me/usamarke1/2296",NA,NA,2021-06-09,NA,NA,"Консервативный потребительский сектор","Напитки - безалкогольные","4"
"🇺🇸 США","Dell","DELL","https://t.me/usamarke1/1058",NA,NA,2020-09-01,NA,NA,"Технологии","Компьютерное оборудование","3"
"🇺🇸 США","DermTech","DMTK","https://t.me/usamarke1/2336",NA,"https://t.me/usamarke1/2336",2021-06-18,NA,2021-06-18,"Здравоохранение","Диагностика и исследования","New"
"🇺🇸 США","Digital Realty Trust","DLR","https://t.me/usamarke1/1229",NA,NA,2020-10-09,NA,NA,"Недвижимость","Офис","4"
"🇺🇸 США","Digital Turbine","APPS","https://t.me/usamarke1/2667",NA,NA,2021-08-27,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Disney","DIS","https://t.me/usamarke1/2300",NA,NA,2021-06-10,NA,NA,"Коммуникационные услуги","Развлечения","3"
"🇺🇸 США","DocuSign","DOCU","https://t.me/usamarke1/1186","https://t.me/usamarke1/1891",NA,2020-09-30,2021-03-08,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Doordash","DASH","https://t.me/usamarke1/2123",NA,NA,2021-04-29,NA,NA,"Циклический потребительский сектор","Интернет-контент и информация","3"
"🇺🇸 США","DoubleVerify Holdings","DV","https://t.me/usamarke1/2660",NA,"https://t.me/usamarke1/2660",2021-08-26,NA,2021-08-26,"Технологии","Программное обеспечение - приложения","New"
"🇺🇸 США","Doximity","DOCS","https://t.me/usamarke1/2481",NA,"https://t.me/usamarke1/2481",2021-07-20,NA,2021-07-20,"Здравоохранение","Информационные услуги в области здравоохранения","New"
"🇺🇸 США","Dr Horton","DHI","https://t.me/usamarke1/1759","https://t.me/usamarke1/1759",NA,2021-02-05,2021-02-05,NA,"Циклический потребительский сектор","Жилищное строительство","5"
"🇺🇸 США","DraftKings","DKNG","https://t.me/usamarke1/2290",NA,NA,2021-06-08,NA,NA,"Циклический потребительский сектор","Азартные игры","3"
"🇺🇸 США","Dropbox","DBX","https://t.me/usamarke1/749","https://t.me/usamarke1/749",NA,2020-07-09,2020-07-09,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","Eargo","EAR","https://t.me/usamarke1/2807",NA,"https://t.me/usamarke1/2336",2021-09-26,NA,2021-06-18,"Здравоохранение","Медицинские приборы","1"
"🇺🇸 США","10x Genomics","TXG","https://t.me/usamarke1/2049",NA,NA,2021-04-12,NA,NA,"Здравоохранение","Информационные услуги в области здравоохранения","4"
"🇺🇸 США","3M","MMM","https://t.me/usamarke1/2602",NA,NA,2021-08-12,NA,NA,"Промышленность","Специализированное промышленное оборудование","3"
"🇺🇸 США","Abbott Laboratories","ABT","https://t.me/usamarke1/2469",NA,NA,2021-07-16,NA,NA,"Здравоохранение","Медицинские приборы","5"
"🇺🇸 США","AbbVie","ABBV","https://t.me/usamarke1/2193",NA,NA,2021-05-16,NA,NA,"Здравоохранение","Производители лекарств - общие","4"
"🇺🇸 США","Academy Sports and Outdoors","ASO","https://t.me/usamarke1/2319",NA,"https://t.me/usamarke1/2319",2021-06-15,NA,2021-06-15,"Циклический потребительский сектор","Специализированная розничная торговля","New"
"🇺🇸 США","Acadia","ACAD","https://t.me/usamarke1/1375",NA,NA,2020-11-07,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Envestnet","ENV","https://t.me/usamarke1/1032",NA,NA,2020-08-28,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","ACM Research","ACMR","https://t.me/usamarke1/2650",NA,NA,2021-08-24,NA,NA,"Технологии","Полупроводниковое оборудование и материалы","4"
"🇺🇸 США","Everquote","EVER","https://t.me/usamarke1/1972","https://t.me/usamarke1/1972",NA,2021-03-27,2021-03-27,NA,"Коммуникационные услуги","Интернет-контент и информация","5"
"🇺🇸 США","Adobe","ADBE","https://t.me/usamarke1/1132","https://t.me/usamarke1/2020",NA,2020-09-16,2021-04-06,NA,"Технологии","Программное обеспечение - инфраструктура","5"
"🇺🇸 США","Aerie Pharma","AERI","https://t.me/usamarke1/1152",NA,NA,2020-09-21,NA,NA,"Здравоохранение","Производители лекарств - специализированные и генерические","2"
"🇺🇸 США","AeroVironment","AVAV","https://t.me/usamarke1/1575",NA,NA,2020-12-18,NA,NA,"Промышленность","Аэрокосмическая и оборонная промышленность","4"
"🇺🇸 США","Affimed N.V.","AFMD","https://t.me/usamarke1/2314",NA,"https://t.me/usamarke1/2314",2021-06-14,NA,2021-06-14,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","Air Products and Chemicals","APD","https://t.me/usamarke1/1944",NA,NA,2021-03-20,NA,NA,"Базовые материалы","Химикаты","4"
"🇺🇸 США","Airbnb","ABNB","https://t.me/usamarke1/1592",NA,NA,2020-12-21,NA,NA,"Циклический потребительский сектор","Интернет-контент и информация","4"
"🇺🇸 США","Albemarle","ALB","https://t.me/usamarke1/993","https://t.me/usamarke1/993",NA,2020-08-19,2020-08-19,NA,"Базовые материалы","Специализированная химия","5"
"🇺🇸 США","Fate Therapeutics","FATE","https://t.me/usamarke1/1974",NA,NA,2021-03-28,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Fedex","FDX","https://t.me/usamarke1/2070",NA,NA,2021-04-16,NA,NA,"Промышленность","Комплексные грузоперевозки и логистика","3"
"🇺🇸 США","Fisker","FSR","https://t.me/usamarke1/2741",NA,"https://t.me/usamarke1/2741",2021-09-13,NA,2021-09-13,"Циклический потребительский сектор","Автопроизводители","New"
"🇺🇸 США","Allstate","ALL","https://t.me/usamarke1/2454",NA,NA,2021-07-13,NA,NA,"Финансовый","Страхование - имущество и страхование от несчастных случаев","4"
"🇺🇸 США","Alnylam","ALNY","https://t.me/usamarke1/1243",NA,NA,2020-10-13,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Alphabet","GOOG","https://t.me/usamarke1/1064","https://t.me/usamarke1/1064",NA,2020-09-02,2020-09-02,NA,"Коммуникационные услуги","Интернет-контент и информация","5"
"🇺🇸 США","Fortinet","FTNT","https://t.me/usamarke1/811","https://t.me/usamarke1/811",NA,2020-07-20,2020-07-20,NA,"Технологии","Программное обеспечение - инфраструктура","5"
"🇺🇸 США","ALX Oncology Holdings","ALXO","https://t.me/usamarke1/2314",NA,"https://t.me/usamarke1/2314",2021-06-14,NA,2021-06-14,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","Amazon","AMZN","https://t.me/usamarke1/1871",NA,NA,2021-03-03,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇺🇸 США","AMD","AMD","https://t.me/usamarke1/1743",NA,NA,2021-02-01,NA,NA,"Технологии","Полупроводники","4"
"🇺🇸 США","American Express","AXP","https://t.me/usamarke1/1240",NA,NA,2020-10-13,NA,NA,"Финансовый","Кредитные услуги","3"
"🇺🇸 США","G1 Therapeutics","GTHX","https://t.me/usamarke1/2030",NA,NA,2021-04-08,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Pinterest","PINS","https://t.me/usamarke1/1293",NA,NA,2020-10-23,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","4"
"🇺🇸 США","Garret Motion","GTX","https://t.me/usamarke1/2433",NA,"https://t.me/usamarke1/2433",2021-07-09,NA,2021-07-09,"Циклический потребительский сектор","Автозапчасти","New"
"🇺🇸 США","General Electric","GE","https://t.me/usamarke1/2517",NA,NA,2021-07-27,NA,NA,"Промышленность","Специализированное промышленное оборудование","2"
"🇺🇸 США","Analog Devices","ADI","https://t.me/usamarke1/1536",NA,NA,2020-12-10,NA,NA,"Технологии","Полупроводники","3"
"🇺🇸 США","Gevo","GEVO","https://t.me/usamarke1/2350",NA,"https://t.me/usamarke1/2350",2021-06-22,NA,2021-06-22,"Базовые материалы","Специализированная химия","New"
"🇺🇸 США","Gilead","GILD","https://t.me/usamarke1/2272",NA,NA,2021-06-03,NA,NA,"Здравоохранение","Производители лекарств - общие","2"
"🇺🇸 США","Global Blood Therapeutics","GBT","https://t.me/usamarke1/859","https://t.me/usamarke1/859",NA,2020-07-28,2020-07-28,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Global Payments","GPN","https://t.me/usamarke1/2744",NA,NA,2021-09-13,NA,NA,"Промышленность","Специализированные бизнес-услуги","3"
"🇺🇸 США","Prothena Corp.","PRTA","https://t.me/usamarke1/2373",NA,"https://t.me/usamarke1/2373",2021-06-25,NA,2021-06-25,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","GoodRx Holdings","GDRX","https://t.me/usamarke1/2336",NA,"https://t.me/usamarke1/2336",2021-06-18,NA,2021-06-18,"Здравоохранение","Информационные услуги в области здравоохранения","New"
"🇺🇸 США","Graco","GGG","https://t.me/usamarke1/2827",NA,NA,2021-10-01,NA,NA,"Промышленность","Специализированное промышленное оборудование","4"
"🇺🇸 США","Graphite Bio","GRPH","https://t.me/usamarke1/2655",NA,"https://t.me/usamarke1/2655",2021-08-25,NA,2021-08-25,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","GXO Logistics","GXO","https://t.me/usamarke1/2689",NA,NA,2021-09-01,NA,NA,"Промышленность","Специализированные бизнес-услуги","3"
"🇺🇸 США","Qualcomm","QCOM","https://t.me/usamarke1/1890","https://t.me/usamarke1/1890",NA,2021-03-07,2021-03-07,NA,"Технологии","Полупроводники","5"
"🇺🇸 США","Qualtrics International","XM","https://t.me/usamarke1/2481",NA,"https://t.me/usamarke1/2481",2021-07-20,NA,2021-07-20,"Технологии","Программное обеспечение - приложения","New"
"🇺🇸 США","Hibbet Sports","HIBB","https://t.me/usamarke1/2600",NA,"https://t.me/usamarke1/2600",2021-08-12,NA,2021-08-12,"Циклический потребительский сектор","Специализированная розничная торговля","New"
"🇺🇸 США","Home Depot","HD","https://t.me/usamarke1/1280",NA,NA,2020-10-21,NA,NA,"Циклический потребительский сектор","Розничная торговля товарами для дома","4"
"🇺🇸 США","Honeywell","HON","https://t.me/usamarke1/2160",NA,NA,2021-05-10,NA,NA,"Промышленность","Специализированное промышленное оборудование","4"
"🇺🇸 США","HP inc.","HPQ","https://t.me/usamarke1/1476",NA,NA,2020-11-28,NA,NA,"Технологии","Компьютерное оборудование","3"
"🇺🇸 США","Hyliion Holdings Corp","HYLN","https://t.me/usamarke1/2350",NA,"https://t.me/usamarke1/2350",2021-06-22,NA,2021-06-22,"Циклический потребительский сектор","Автозапчасти","New"
"🇺🇸 США","IAC","IAC","https://t.me/usamarke1/1165",NA,NA,2020-09-24,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","3"
"🇺🇸 США","Redfin","RDFN","https://t.me/usamarke1/1914",NA,NA,2021-03-13,NA,NA,"Циклический потребительский сектор","Услуги в сфере недвижимости","4"
"🇺🇸 США","Regeneron","REGN","https://t.me/usamarke1/2307",NA,NA,2021-06-11,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Regenxbio","RGNX","https://t.me/usamarke1/1510",NA,NA,2020-12-05,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Renewable Energy","REGI","https://t.me/usamarke1/1948",NA,NA,2021-03-21,NA,NA,"Энергетика","Переработка и маркетинг нефти и газа","3"
"🇺🇸 США","Repligen","RGEN","https://t.me/usamarke1/1443",NA,NA,2020-11-23,NA,NA,"Здравоохранение","Медицинские инструменты и принадлежности","4"
"🇺🇸 США","Revolve","RVLV","https://t.me/usamarke1/1691","https://t.me/usamarke1/1691",NA,2021-01-17,2021-01-17,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇺🇸 США","Marqeta","MQ","https://t.me/usamarke1/2359",NA,NA,2021-06-23,NA,NA,"Технологии","Программное обеспечение - инфраструктура","3"
"🇺🇸 США","Martin Marietta Materials","MLM","https://t.me/usamarke1/1382",NA,NA,2020-11-09,NA,NA,"Базовые материалы","Строительные материалы","4"
"🇺🇸 США","Intel","INTC","https://t.me/usamarke1/1391","https://t.me/usamarke1/1028",NA,2020-11-11,2020-08-27,NA,"Технологии","Полупроводники","3"
"🇺🇸 США","Intellia Therapeutics","NTLA","https://t.me/usamarke1/1902",NA,NA,2021-03-10,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Inter Public Group","IPG","https://t.me/usamarke1/1224",NA,NA,2020-10-08,NA,NA,"Коммуникационные услуги","Рекламные агентства","3"
"🇺🇸 США","Interactive Brokers","IBKR","https://t.me/usamarke1/1529",NA,NA,2020-12-09,NA,NA,"Финансовый","Рынки капитала","3"
"🇺🇸 США","Intercontinental Exchange","ICE","https://t.me/usamarke1/2103",NA,NA,2021-04-24,NA,NA,"Финансовый","Финансовые данные и фондовые биржи","3"
"🇺🇸 США","Intuit","INTU","https://t.me/usamarke1/1442",NA,NA,2020-11-23,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Salesforce","CRM","https://t.me/usamarke1/1277","https://t.me/usamarke1/1990",NA,2020-10-20,2021-03-31,NA,"Технологии","Программное обеспечение - приложения","5"
"🇺🇸 США","Iovance Biotherapeutics","IOVA","https://t.me/usamarke1/1814",NA,NA,2021-02-18,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","IPG Photonics","IPGP","https://t.me/usamarke1/1248",NA,NA,2020-10-14,NA,NA,"Технологии","Полупроводниковое оборудование и материалы","3"
"🇺🇸 США","iRhythm Technologies","IRTC","https://t.me/usamarke1/2147",NA,NA,2021-05-06,NA,NA,"Здравоохранение","Медицинские инструменты и принадлежности","2"
"🇺🇸 США","Schrodinger","SDGR","https://t.me/usamarke1/1437",NA,NA,2020-11-20,NA,NA,"Здравоохранение","Информационные услуги в области здравоохранения","3"
"🇺🇸 США","Johnson&Johnson","JNJ","https://t.me/usamarke1/1805",NA,NA,2021-02-16,NA,NA,"Здравоохранение","Производители лекарств - общие","4"
"🇺🇸 США","MSC Industrial","MSM","https://t.me/usamarke1/2499",NA,NA,2021-07-23,NA,NA,"Промышленность","Промышленная дистрибуция","4"
"🇺🇸 США","SentinelOne","S","https://t.me/usamarke1/2600",NA,"https://t.me/usamarke1/2600",2021-08-12,NA,2021-08-12,"Технологии","Программное обеспечение - инфраструктура","New"
"🇺🇸 США","KnowBe4","KNBE","https://t.me/usamarke1/2618",NA,"https://t.me/usamarke1/2618",2021-08-17,NA,2021-08-17,"Технологии","Программное обеспечение - инфраструктура","New"
"🇺🇸 США","Shake Shack","SHAK","https://t.me/usamarke1/1134",NA,NA,2020-09-16,NA,NA,"Циклический потребительский сектор","Рестораны","3"
"🇺🇸 США","Kratos Defence & Security","KTOS","https://t.me/usamarke1/2767",NA,"https://t.me/usamarke1/2767",2021-09-17,NA,2021-09-17,"Промышленность","Аэрокосмическая и оборонная промышленность","New"
"🇺🇸 США","L3Harris","LHX","https://t.me/usamarke1/1073",NA,NA,2020-09-04,NA,NA,"Промышленность","Аэрокосмическая и оборонная промышленность","4"
"🇺🇸 США","Lam Research","LRCX","https://t.me/usamarke1/1048",NA,NA,2020-08-31,NA,NA,"Технологии","Полупроводниковое оборудование и материалы","5"
"🇺🇸 США","Landstar System","LSTR","https://t.me/usamarke1/2631",NA,NA,2021-08-19,NA,NA,"Промышленность","Комплексные грузоперевозки и логистика","3"
"🇺🇸 США","Leidos","LDOS","https://t.me/usamarke1/1195",NA,NA,2020-10-02,NA,NA,"Технологии","Услуги в области информационных технологий","3"
"🇺🇸 США","LendingTree","TREE","https://t.me/usamarke1/2313",NA,NA,2021-06-13,NA,NA,"Финансовый","Ипотечное финансирование","3"
"🇺🇸 США","Skyworks Solutions","SWKS","https://t.me/usamarke1/1174","https://t.me/usamarke1/1775",NA,2020-09-26,2021-02-09,NA,"Технологии","Полупроводники","4"
"🇺🇸 США","Smartsheet","SMAR","https://t.me/usamarke1/2211",NA,NA,2021-05-20,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","LifeStance Health Group","LFST","https://t.me/usamarke1/2716",NA,"https://t.me/usamarke1/2716",2021-09-07,NA,2021-09-07,"Здравоохранение","Медицинские учреждения","New"
"🇺🇸 США","Snowflake","SNOW","https://t.me/usamarke1/2760",NA,"https://t.me/usamarke1/2760",2021-09-16,NA,2021-09-16,"Технологии","Программное обеспечение - приложения","New"
"🇺🇸 США","Livent","LTHM","https://t.me/usamarke1/1061",NA,NA,2020-09-02,NA,NA,"Базовые материалы","Специализированная химия","4"
"🇺🇸 США","Lockheed Martin","LMT","https://t.me/usamarke1/1756","https://t.me/usamarke1/1756",NA,2021-02-04,2021-02-04,NA,"Промышленность","Аэрокосмическая и оборонная промышленность","4"
"🇺🇸 США","QuantumScape Corp.","QS","https://t.me/usamarke1/2383",NA,"https://t.me/usamarke1/2383",2021-06-29,NA,2021-06-29,"Циклический потребительский сектор","Автозапчасти","New"
"🇺🇸 США","Lordstown Motors Corp","RIDE","https://t.me/usamarke1/2383",NA,"https://t.me/usamarke1/2383",2021-06-29,NA,2021-06-29,"Циклический потребительский сектор","Автопроизводители","New"
"🇺🇸 США","Louisiana-Pacific Corporation","LPX","https://t.me/usamarke1/2730",NA,NA,2021-09-09,NA,NA,"Промышленность","Строительные товары и оборудование","3"
"🇺🇸 США","Lowe`s","LOW","https://t.me/usamarke1/1518",NA,NA,2020-12-07,NA,NA,"Циклический потребительский сектор","Розничная торговля товарами для дома","4"
"🇺🇸 США","Unity Software","U","https://t.me/usamarke1/2477",NA,"https://t.me/usamarke1/2399",2021-07-19,NA,2021-07-02,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Luminar Technologies","LAZR","https://t.me/usamarke1/2357",NA,"https://t.me/usamarke1/2357",2021-06-23,NA,2021-06-23,"Технологии","Программное обеспечение - приложения","New"
"🇺🇸 США","Square","SQ","https://t.me/usamarke1/2253",NA,NA,2021-05-30,NA,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","Squarespace","SQSP","https://t.me/usamarke1/2396",NA,NA,2021-07-01,NA,NA,"Технологии","Программное обеспечение - инфраструктура","3"
"🇺🇸 США","Markel","MKL","https://t.me/usamarke1/1643",NA,NA,2020-12-31,NA,NA,"Финансовый","Страхование - имущество и страхование от несчастных случаев","4"
"🇺🇸 США","MarketAxess","MKTX","https://t.me/usamarke1/1408",NA,NA,2020-11-15,NA,NA,"Финансовый","Рынки капитала","3"
"🇺🇸 США","Palantir","PLTR","https://t.me/usamarke1/1941",NA,NA,2021-03-19,NA,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","Palo Alto","PANW","https://t.me/usamarke1/1962",NA,NA,2021-03-24,NA,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","MasterCard","MA","https://t.me/usamarke1/1992",NA,NA,2021-03-31,NA,NA,"Финансовый","Кредитные услуги","4"
"🇺🇸 США","Stryker","SYK","https://t.me/usamarke1/2722",NA,NA,2021-09-08,NA,NA,"Здравоохранение","Медицинские приборы","4"
"🇺🇸 США","Sunrun","RUN","https://t.me/usamarke1/2569",NA,"https://t.me/usamarke1/2447",2021-08-05,NA,2021-07-12,"Технологии","Солнечная энергия","3"
"🇺🇸 США","T-mobile","TMUS","https://t.me/usamarke1/1484",NA,NA,2020-11-30,NA,NA,"Коммуникационные услуги","Телекоммуникационные услуги","4"
"🇺🇸 США","Micron","MU","https://t.me/usamarke1/2808","https://t.me/usamarke1/1023",NA,2021-09-26,2020-08-26,NA,"Технологии","Полупроводники","4"
"🇺🇸 США","Tactile Systems Technology","TCMD","https://t.me/usamarke1/1246",NA,NA,2020-10-14,NA,NA,"Здравоохранение","Медицинские приборы","1"
"🇺🇸 США","MicroStrategy","MSTR","https://t.me/usamarke1/2201",NA,NA,2021-05-18,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","MicroVision","MVIS","https://t.me/usamarke1/2357",NA,"https://t.me/usamarke1/2357",2021-06-23,NA,2021-06-23,"Технологии","Научные и технические приборы","New"
"🇺🇸 США","Moelis","MC","https://t.me/usamarke1/1015",NA,NA,2020-08-24,NA,NA,"Финансовый","Рынки капитала","4"
"🇺🇸 США","MongoDB","MDB","https://t.me/usamarke1/955","https://t.me/usamarke1/955",NA,2020-08-12,2020-08-12,NA,"Технологии","Программное обеспечение - инфраструктура","4"
"🇺🇸 США","Teladoc Health","TDOC","https://t.me/usamarke1/1722","https://t.me/usamarke1/1889",NA,2021-01-26,2021-03-07,NA,"Здравоохранение","Информационные услуги в области здравоохранения","5"
"🇺🇸 США","Morgan Stanley","MS","https://t.me/usamarke1/1502",NA,NA,2020-12-03,NA,NA,"Финансовый","Рынки капитала","4"
"🇺🇸 США","Seagen","SGEN","https://t.me/usamarke1/1748","https://t.me/usamarke1/1984",NA,2021-02-02,2021-03-30,NA,"Здравоохранение","Биотехнологии","5"
"🇺🇸 США","N-able","NABL","https://t.me/usamarke1/2697",NA,"https://t.me/usamarke1/2697",2021-09-03,NA,2021-09-03,"Технологии","Услуги в области информационных технологий","New"
"🇺🇸 США","Nektar Therapeutics","NKTR","https://t.me/usamarke1/2346",NA,NA,2021-06-21,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","The Mosaic Company","MOS","https://t.me/usamarke1/2644",NA,NA,2021-08-23,NA,NA,"Базовые материалы","Сельскохозяйственные материалы","3"
"🇺🇸 США","Netflix","NFLX","https://t.me/usamarke1/1160",NA,NA,2020-09-23,NA,NA,"Коммуникационные услуги","Развлечения","5"
"🇺🇸 США","Neurocrine","NBIX","https://t.me/usamarke1/2222",NA,NA,2021-05-22,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","New Fortress Energy","NFE","https://t.me/usamarke1/2363",NA,"https://t.me/usamarke1/2363",2021-06-24,NA,2021-06-24,"Коммунальные услуги","Регулируемый газ","New"
"🇺🇸 США","Newmont Goldcorp","NEM","https://t.me/usamarke1/2682",NA,NA,2021-08-31,NA,NA,"Базовые материалы","Золото","4"
"🇺🇸 США","NextEra Energy","NEE","https://t.me/usamarke1/2375",NA,NA,2021-06-26,NA,NA,"Коммунальные услуги","Регулируемая электроэнергия","3"
"🇺🇸 США","Nike","NKE","https://t.me/usamarke1/2098",NA,NA,2021-04-23,NA,NA,"Циклический потребительский сектор","Обувь и аксессуары","5"
"🇺🇸 США","Translate Bio","TBIO","https://t.me/usamarke1/2394",NA,"https://t.me/usamarke1/2394",2021-07-01,NA,2021-07-01,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","Triterras","TRIT","https://t.me/usamarke1/2394",NA,"https://t.me/usamarke1/2394",2021-07-01,NA,2021-07-01,"Технологии","Услуги в области информационных технологий","New"
"🇺🇸 США","Ecolab","ECL","https://t.me/usamarke1/1149",NA,NA,2020-09-19,NA,NA,"Базовые материалы","Специализированная химия","3"
"🇺🇸 США","Editas Medicine","EDIT","https://t.me/usamarke1/1540",NA,NA,2020-12-11,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Edwards Lifescience","EW","https://t.me/usamarke1/2824",NA,NA,2021-09-30,NA,NA,"Здравоохранение","Медицинские приборы","4"
"🇺🇸 США","eHealth","EHTH","https://t.me/usamarke1/1795","https://t.me/usamarke1/1795",NA,2021-02-14,2021-02-14,NA,"Здравоохранение","Страховые брокеры","3"
"🇺🇸 США","Uber","UBER","https://t.me/usamarke1/1684",NA,NA,2021-01-15,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","Enphase Energy","ENPH","https://t.me/usamarke1/1251",NA,NA,2020-10-15,NA,NA,"Технологии","Солнечная энергия","4"
"🇺🇸 США","Omnicom Group","OMC","https://t.me/usamarke1/2027",NA,NA,2021-04-07,NA,NA,"Коммуникационные услуги","Рекламные агентства","2"
"🇺🇸 США","Evercore","EVR","https://t.me/usamarke1/1911",NA,NA,2021-03-12,NA,NA,"Финансовый","Рынки капитала","5"
"🇺🇸 США","Oracle","ORCL","https://t.me/usamarke1/1211",NA,NA,2020-10-06,NA,NA,"Технологии","Программное обеспечение - инфраструктура","3"
"🇺🇸 США","Organon & Co","OGN","https://t.me/usamarke1/2595",NA,"https://t.me/usamarke1/2445",2021-08-11,NA,2021-07-12,"Здравоохранение","Производители лекарств - общие","2"
"🇺🇸 США","Exelixis","EXEL","https://t.me/usamarke1/2428",NA,NA,2021-07-08,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Exxon Mobil","XOM","https://t.me/usamarke1/2435",NA,NA,2021-07-09,NA,NA,"Энергетика","Нефтегазовая промышленность","2"
"🇺🇸 США","Facebook","FB","https://t.me/usamarke1/2158",NA,NA,2021-05-09,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","5"
"🇺🇸 США","Vanda Pharmaceuticals","VNDA","https://t.me/usamarke1/1030",NA,NA,2020-08-27,NA,NA,"Здравоохранение","Биотехнологии","1"
"🇺🇸 США","Faro Technologies","FARO","https://t.me/usamarke1/2128",NA,NA,2021-04-30,NA,NA,"Технологии","Научные и технические приборы","3"
"🇺🇸 США","Fastly","FSLY","https://t.me/usamarke1/2558",NA,NA,2021-08-03,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Inseego Corp","INSG","https://t.me/usamarke1/2350",NA,"https://t.me/usamarke1/2350",2021-06-22,NA,2021-06-22,"Технологии","Оборудование связи","New"
"🇺🇸 США","Paychex","PAYX","https://t.me/usamarke1/1637",NA,"https://t.me/usamarke1/2727",2020-12-30,NA,2021-09-08,"Промышленность","Услуги по подбору персонала и трудоустройству","3"
"🇺🇸 США","Paycom","PAYC","https://t.me/usamarke1/1478","https://t.me/usamarke1/2025",NA,2020-11-29,2021-04-07,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Five Below","FIVE","https://t.me/usamarke1/2007",NA,NA,2021-04-03,NA,NA,"Циклический потребительский сектор","Специализированная розничная торговля","4"
"🇺🇸 США","Paymentus Holdings","PAY","https://t.me/usamarke1/2618",NA,"https://t.me/usamarke1/2618",2021-08-17,NA,2021-08-17,"Технологии","Услуги в области информационных технологий","New"
"🇺🇸 США","Ford","F","https://t.me/usamarke1/1632",NA,NA,2020-12-29,NA,NA,"Циклический потребительский сектор","Автопроизводители","2"
